Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) de la última muestra,P95 (ms) histórico,Porcentaje de mejora/empeora
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,Primer ingreso al menú Agenda,1.10.1,3134.0,3116.0,-0.58
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,Primer ingreso: Filtro de todos los estados y conceptos con fecha actual,1.10.1,29762.0,36394.9,18.22
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",1.10.1,604.0,636.3,5.08
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",1.10.1,27952.0,29716.15,5.94
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",1.10.1,574.0,576.85,0.49
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Vencimiento",1.10.1,1244.0,1237.8,-0.5
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Venta",1.10.1,624.0,618.4,-0.91
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,Segundo ingreso al menú Agenda,1.10.1,3564.0,3515.85,-1.37
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,Segundo ingreso: Filtro de todos los estados y conceptos con fecha actual,1.10.1,31312.0,31091.7,-0.71
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",1.10.1,593.0,637.65,7.0
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",1.10.1,28774.0,28458.85,-1.11
2025-09-17T17:36:17-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",1.10.1,540.0,539.45,-0.1
