Timestamp,Cliente,Ambiente,Versión,Sección,Descripción base,P95 (ms) acumulado base,Descripción comparada,P95 (ms) acumulado comparada,Porcentaje de mejora/empeora
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Agenda,Primer ingreso al menú Agenda,3116.0,Segundo ingreso al menú Agenda,3515.85,-12.83
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Agenda,Primer uso de filtros por estados y conceptos,32929.75,Segundo uso de filtros por estados y conceptos,29916.1,9.15
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Home,Primer ingreso al menú Home,6535.85,Segundo ingreso al menú Home,4287.4,34.4
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Mis operaciones,Primer ingreso al menú Mis operaciones,5961.35,Segundo ingreso al menú Mis operaciones,5675.95,4.79
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Mis operaciones,Primer uso de filtros de operaciones,33337.95,Segundo uso de filtros de operaciones,35501.9,-6.49
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Mis operaciones,Primer uso de filtros de operaciones por depositario,22989.7,Segundo uso de filtros de operaciones por depositario,23818.6,-3.61
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Mis portfolios,Primer ingreso al menú Mis portfolios,4254.95,Segundo ingreso al menú Mis portfolios,1432.95,66.32
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Rendimiento,Primer ingreso al portfolio Total,49165.55,Segundo ingreso al portfolio Total,163.0,99.67
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Rendimiento,Primer ingreso al portfolio Avalian ARS,37132.25,Segundo ingreso al portfolio Avalian ARS,1587.05,95.73
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Total método MWR,2111.25,Segunda recorrida de cartas de rendimiento portfolio Total método MWR,49545.25,-2246.73
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Total método TWR,2166.25,Segunda recorrida de cartas de rendimiento portfolio Total método TWR,2214.25,-2.22
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Avalian ARS método MWR,1950.25,Segunda recorrida de cartas de rendimiento portfolio Avalian ARS método MWR,2198.75,-12.74
2025-09-17T17:36:17-03:00,Avalian,Production,1.10.1,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Avalian ARS método TWR,2089.75,Segunda recorrida de cartas de rendimiento portfolio Avalian ARS método TWR,1879.75,10.05
