Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) de la última muestra,P95 (ms) histórico,Porcentaje de mejora/empeora
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,Primer ingreso al menú Agenda,V1.10.1,1747.0,2332.4,25.1
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,Primer ingreso: Filtro de todos los estados y conceptos con fecha actual,V1.10.1,32177.0,31918.7,-0.81
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",V1.10.1,535.0,594.5,10.01
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",V1.10.1,30532.0,30309.1,-0.74
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",V1.10.1,486.0,588.65,17.44
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Vencimiento",V1.10.1,1185.0,1230.9,3.73
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Venta",V1.10.1,450.0,487.35,7.66
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,Segundo ingreso al menú Agenda,V1.10.1,1702.0,1786.15,4.71
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,Segundo ingreso: Filtro de todos los estados y conceptos con fecha actual,V1.10.1,26697.0,30155.55,11.47
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",V1.10.1,561.0,588.8,4.72
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",V1.10.1,25666.0,29314.3,12.45
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",V1.10.1,467.0,510.35,8.49
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Vencimiento",V1.10.1,1116.0,1606.7,30.54
2025-09-18T14:14:00-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Venta",V1.10.1,413.0,509.2,18.89
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Ingreso a MPC,V1.10.1,4191.0,5072.45,17.38
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Primer ingreso al menú Home,V1.10.1,7217.0,7112.9,-1.46
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Primer ingreso al portfolio Avalian ARS desde el Home,V1.10.1,11202.0,11721.2,4.43
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Primer ingreso al portfolio Avalian USD desde el Home,V1.10.1,7724.0,8341.1,7.4
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Segundo ingreso al menú Home,V1.10.1,3742.0,3856.75,2.98
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Avalian ARS desde el Home,V1.10.1,11824.0,11798.8,-0.21
2025-09-18T14:14:00-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Avalian USD desde el Home,V1.10.1,6510.0,6995.1,6.93
2025-09-18T14:14:00-03:00,Avalian,Production,Login,Ingreso al admin de MPC y setup de portfolios,V1.10.1,8926.0,39509.85,77.41
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Primer ingreso al depositario ARS,V1.10.1,32826.0,32428.05,-1.23
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Primer ingreso al menú Mis operaciones,V1.10.1,3923.0,4867.55,19.41
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Depositario ARS filtro de 1 mes de operaciones,V1.10.1,3480.0,3338.1,-4.25
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Depositario ARS filtro de 3 meses de operaciones,V1.10.1,30148.0,29251.45,-3.06
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Filtro de 1 mes de operaciones,V1.10.1,7022.0,6954.05,-0.98
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Filtro de 3 meses de operaciones,V1.10.1,42934.0,42455.95,-1.13
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Segundo ingreso al depositario ARS,V1.10.1,33462.0,32524.05,-2.88
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Segundo ingreso al menú Mis operaciones,V1.10.1,4473.0,4850.4,7.78
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Depositario ARS filtro de 1 mes de operaciones,V1.10.1,2366.0,2419.55,2.21
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Depositario ARS filtro de 3 meses de operaciones,V1.10.1,31303.0,30027.25,-4.25
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Filtro de 1 mes de operaciones,V1.10.1,7189.0,7238.3,0.68
2025-09-18T14:14:00-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Filtro de 3 meses de operaciones,V1.10.1,46303.0,45506.5,-1.75
2025-09-18T14:14:00-03:00,Avalian,Production,Mis portfolios,Primer ingreso al menú Mis portfolios,V1.10.1,3074.0,3754.3,18.12
2025-09-18T14:14:00-03:00,Avalian,Production,Mis portfolios,Primer ingreso al portfolio Avalian ARS desde Mis portfolios,V1.10.1,8659.0,9914.2,12.66
2025-09-18T14:14:00-03:00,Avalian,Production,Mis portfolios,Primer ingreso al portfolio Avalian USD desde Mis portfolios,V1.10.1,6439.0,6196.9,-3.91
2025-09-18T14:14:00-03:00,Avalian,Production,Mis portfolios,Segundo ingreso al menú Mis portfolios,V1.10.1,1651.0,2051.1,19.51
2025-09-18T14:14:00-03:00,Avalian,Production,Mis portfolios,Segundo ingreso al portfolio Avalian ARS desde Mis portfolios,V1.10.1,8077.0,8551.05,5.54
2025-09-18T14:14:00-03:00,Avalian,Production,Mis portfolios,Segundo ingreso al portfolio Avalian USD desde Mis portfolios,V1.10.1,5207.0,5182.7,-0.47
2025-09-18T14:14:00-03:00,Avalian,Production,Rendimiento,Cambio de método de rentabilidad a TWR,V1.10.1,1525.0,1726.65,11.68
2025-09-18T14:14:00-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde el inicio con método MWR,V1.10.1,3047.0,2869.55,-6.18
2025-09-18T14:14:00-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde el inicio con método TWR,V1.10.1,1860.0,1925.45,3.4
2025-09-18T14:14:00-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde principio de año con método MWR,V1.10.1,1360.0,1517.2,10.36
2025-09-18T14:14:00-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde principio de año con método TWR,V1.10.1,1478.0,2080.15,28.95
