Timestamp,Cliente,Ambiente,Sección,Descripción,P95 (ms) de la última versión V1.10.1,P95 (ms) de la versión 1.10.1,Porcentaje de mejora/empeora
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,Primer ingreso al menú Agenda,2404.0,3208.7,25.08
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,Primer ingreso: Filtro de todos los estados y conceptos con fecha actual,29993.0,36045.8,16.79
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",515.0,634.6,18.85
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",27838.0,29623.3,6.03
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",493.0,576.7,14.51
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Vencimiento",1471.0,1231.6,-19.44
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Venta",436.0,612.8,28.85
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,Segundo ingreso al menú Agenda,3183.0,3526.5,9.74
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,Segundo ingreso: Filtro de todos los estados y conceptos con fecha actual,27030.0,32303.8,16.33
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",533.0,635.3,16.1
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",25150.0,28749.3,12.52
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",458.0,546.3,16.16
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Vencimiento",946.0,1298.0,27.12
2025-09-17T18:43:44-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Venta",411.0,492.8,16.6
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Ingreso a MPC,5977.0,5452.8,-9.61
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Primer ingreso al menú Home,7241.0,6842.4,-5.83
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Primer ingreso al portfolio Avalian ARS desde el Home,9112.0,10597.6,14.02
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Primer ingreso al portfolio Avalian USD desde el Home,5287.0,6755.5,21.74
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Segundo ingreso al menú Home,2697.0,4245.8,36.48
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Avalian ARS desde el Home,8935.0,9093.6,1.74
2025-09-17T18:43:44-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Avalian USD desde el Home,4376.0,5851.9,25.22
2025-09-17T18:43:44-03:00,Avalian,Production,Login,Ingreso al admin de MPC y setup de portfolios,13463.0,10540.7,-27.72
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Primer ingreso al depositario ARS,9381.0,26569.1,64.69
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Primer ingreso al menú Mis operaciones,4863.0,5902.2,17.61
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Depositario ARS filtro de 1 mes de operaciones,2388.0,3217.0,25.77
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Depositario ARS filtro de 3 meses de operaciones,26454.0,23631.4,-11.94
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Filtro de 1 mes de operaciones,5981.0,7274.1,17.78
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Primer ingreso: Filtro de 3 meses de operaciones,35017.0,37123.8,5.68
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Segundo ingreso al depositario ARS,28982.0,26889.7,-7.78
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Segundo ingreso al menú Mis operaciones,3427.0,5671.9,39.58
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Depositario ARS filtro de 1 mes de operaciones,2177.0,3124.0,30.31
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Depositario ARS filtro de 3 meses de operaciones,4465.0,24619.0,81.86
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Filtro de 1 mes de operaciones,5128.0,6669.3,23.11
2025-09-17T18:43:44-03:00,Avalian,Production,Mis operaciones,Segundo ingreso: Filtro de 3 meses de operaciones,35239.0,35711.3,1.32
2025-09-17T18:43:44-03:00,Avalian,Production,Mis portfolios,Primer ingreso al menú Mis portfolios,3132.0,4276.4,26.76
2025-09-17T18:43:44-03:00,Avalian,Production,Mis portfolios,Primer ingreso al portfolio Avalian ARS desde Mis portfolios,7378.0,9207.5,19.87
2025-09-17T18:43:44-03:00,Avalian,Production,Mis portfolios,Primer ingreso al portfolio Avalian USD desde Mis portfolios,3881.0,4563.9,14.96
2025-09-17T18:43:44-03:00,Avalian,Production,Mis portfolios,Segundo ingreso al menú Mis portfolios,1092.0,1465.9,25.51
2025-09-17T18:43:44-03:00,Avalian,Production,Mis portfolios,Segundo ingreso al portfolio Avalian ARS desde Mis portfolios,6729.0,8706.9,22.72
2025-09-17T18:43:44-03:00,Avalian,Production,Mis portfolios,Segundo ingreso al portfolio Avalian USD desde Mis portfolios,5696.0,5349.4,-6.48
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Cambio de método de rentabilidad a TWR,1332.0,1645.7,19.06
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde el inicio con método MWR,1528.0,2016.3,24.22
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde el inicio con método TWR,1666.0,2644.9,37.01
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde principio de año con método MWR,1311.0,1512.3,13.31
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde principio de año con método TWR,1146.0,1831.8,37.44
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde principio de mes con método MWR,438.0,525.0,16.57
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Desde principio de mes con método TWR,391.0,564.3,30.71
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Última semana con método MWR,345.0,483.2,28.6
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Última semana con método TWR,364.0,502.0,27.49
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Último año con método MWR,1821.0,1942.0,6.23
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Último año con método TWR,1735.0,1854.3,6.43
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Último mes con método MWR,416.0,639.1,34.91
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Último mes con método TWR,466.0,573.1,18.69
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Últimos 3 meses con método MWR,616.0,734.3,16.11
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Últimos 3 meses con método TWR,813.0,887.8,8.43
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Últimos 6 meses con método MWR,1133.0,1658.0,31.66
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Primer ingreso a la carta de rendimiento Últimos 6 meses con método TWR,939.0,1169.5,19.71
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Desde el inicio con método MWR,1924.0,2217.3,13.23
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Desde el inicio con método TWR,1352.0,1879.0,28.05
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Desde principio de año con método MWR,1075.0,1847.9,41.83
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Desde principio de año con método TWR,1361.0,1524.7,10.74
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Desde principio de mes con método MWR,409.0,625.3,34.59
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Desde principio de mes con método TWR,397.0,665.4,40.34
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Última semana con método MWR,406.0,514.5,21.09
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Última semana con método TWR,406.0,502.3,19.17
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Último año con método MWR,1340.0,2167.3,38.17
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Último año con método TWR,1812.0,1984.4,8.69
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Último mes con método MWR,473.0,713.5,33.71
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Último mes con método TWR,526.0,611.9,14.04
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Últimos 3 meses con método MWR,613.0,866.7,29.27
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Últimos 3 meses con método TWR,586.0,820.2,28.55
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Últimos 6 meses con método MWR,861.0,1700.3,49.36
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Avalian ARS: Segundo ingreso a la carta de rendimiento Últimos 6 meses con método TWR,1003.0,1306.2,23.21
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Desde el inicio con método MWR,1736.0,2210.6,21.47
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Desde el inicio con método TWR,1384.0,2234.5,38.06
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Desde principio de año con método MWR,1340.0,2456.6,45.45
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Desde principio de año con método TWR,1353.0,1791.9,24.49
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Desde principio de mes con método MWR,531.0,542.9,2.19
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Desde principio de mes con método TWR,413.0,543.2,23.97
2025-09-17T18:43:44-03:00,Avalian,Production,Rendimiento,Portfolio Total: Primer ingreso a la carta de rendimiento Última semana con método MWR,379.0,506.0,25.1
