Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,Primer ingreso al menú Agenda,V1.10.7,4060.75,3087.4,-31.53
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,Primer ingreso: Filtro de todos los estados y conceptos con fecha actual,V1.10.7,42977.0,42131.9,-2.01
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",V1.10.7,690.0,668.4,-3.23
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",V1.10.7,30075.5,31767.15,5.33
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",V1.10.7,696.25,678.85,-2.56
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Vencimiento",V1.10.7,2016.25,1447.05,-39.34
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Venta",V1.10.7,601.25,542.85,-10.76
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,Segundo ingreso al menú Agenda,V1.10.7,3590.75,3588.9,-0.05
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,Segundo ingreso: Filtro de todos los estados y conceptos con fecha actual,V1.10.7,30159.25,33346.35,9.56
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",V1.10.7,697.75,800.85,12.87
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",V1.10.7,30803.75,34455.5,10.6
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",V1.10.7,603.25,659.05,8.47
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Vencimiento",V1.10.7,1897.5,1581.35,-19.99
2025-12-03T12:33:23-03:00,Avalian,Production,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Venta",V1.10.7,538.5,525.75,-2.43
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Ingreso a MPC,V1.10.7,6168.5,5824.4,-5.91
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Primer ingreso al menú Home,V1.10.7,11784.5,9611.15,-22.61
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Primer ingreso al portfolio Cobertura desde el Home,V1.10.7,7477.75,6388.0,-17.06
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Primer ingreso al portfolio Estrategia desde el Home,V1.10.7,14245.25,12331.8,-15.52
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Primer ingreso al portfolio Hard Dollar desde el Home,V1.10.7,8197.25,7354.8,-11.45
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Segundo ingreso al menú Home,V1.10.7,4374.75,4034.8,-8.43
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Cobertura desde el Home,V1.10.7,7208.0,6804.2,-5.93
2025-12-03T12:33:23-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Estrategia desde el Home,V1.10.7,11749.25,11566.2,-1.58
