Timestamp,Cliente,Ambiente,Versión,Sección,Descripción base,P95 (ms) acumulado base,Descripción comparada,P95 (ms) acumulado comparada,Porcentaje de mejora/empeora
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Agenda,Primer ingreso al menú Agenda,4817.95,Segundo ingreso al menú Agenda,3607.9,25.12
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Agenda,Primer uso de filtros por estados y conceptos,30492.85,Segundo uso de filtros por estados y conceptos,6637.15,78.23
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Home,Primer ingreso al menú Home,58363.45,Segundo ingreso al menú Home,23110.15,60.4
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Mi dinero,Primer ingreso al menú Mi dinero,183508.3,Segundo ingreso al menú Mi dinero,95865.35,47.76
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Mis operaciones,Primer ingreso al menú Mis operaciones,5988.85,Segundo ingreso al menú Mis operaciones,5780.65,3.48
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Mis operaciones,Primer uso de filtros de operaciones,76289.9,Segundo uso de filtros de operaciones,74106.7,2.86
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Mis operaciones,Primer uso de filtros de operaciones por depositario,3245.2,Segundo uso de filtros de operaciones por depositario,2657.85,18.1
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Mis portfolios,Primer ingreso al menú Mis portfolios,36283.5,Segundo ingreso al menú Mis portfolios,12874.25,64.52
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Total,9131.55,Segundo ingreso al portfolio Total,1522.8,83.32
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Cobertura,2033.5,Segundo ingreso al portfolio Cobertura,1323.5,34.92
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Fideicomiso CFI,2138.0,Segundo ingreso al portfolio Fideicomiso CFI,1486.0,30.5
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio FFI,2161.0,Segundo ingreso al portfolio FFI,1365.0,36.83
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Fondo de Obra Social,1822.0,Segundo ingreso al portfolio Fondo de Obra Social,1212.0,33.48
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio FPC,1959.0,Segundo ingreso al portfolio FPC,1252.0,36.09
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Hard Dollar,2542.9,Segundo ingreso al portfolio Hard Dollar,1167.6,54.08
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio CFI,2386.0,Segundo ingreso al portfolio CFI,1242.0,47.95
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Estrategia,5540.0,Segundo ingreso al portfolio Estrategia,1283.5,76.83
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Total método MWR,2966.5,Segunda recorrida de cartas de rendimiento portfolio Total método MWR,2948.45,0.61
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Total método TWR,2953.0,Segunda recorrida de cartas de rendimiento portfolio Total método TWR,3064.9,-3.79
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Hard Dollar método MWR,2269.2,Segunda recorrida de cartas de rendimiento portfolio Hard Dollar método MWR,2287.6,-0.81
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio FFI método MWR,4216.5,Segunda recorrida de cartas de rendimiento portfolio FFI método MWR,4024.1,4.56
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Fondo de Obra Social método MWR,2818.7,Segunda recorrida de cartas de rendimiento portfolio Fondo de Obra Social método MWR,3139.3,-11.37
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Cobertura método MWR,2190.0,Segunda recorrida de cartas de rendimiento portfolio Cobertura método MWR,2089.0,4.61
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Fideicomiso CFI método MWR,3500.4,Segunda recorrida de cartas de rendimiento portfolio Fideicomiso CFI método MWR,3555.6,-1.58
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Estrategia método MWR,2702.0,Segunda recorrida de cartas de rendimiento portfolio Estrategia método MWR,2516.6,6.86
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio FPC método MWR,3207.5,Segunda recorrida de cartas de rendimiento portfolio FPC método MWR,3651.8,-13.85
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio CFI método MWR,4047.8,Segunda recorrida de cartas de rendimiento portfolio CFI método MWR,4168.7,-2.99
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Hard Dollar método TWR,2215.0,Segunda recorrida de cartas de rendimiento portfolio Hard Dollar método TWR,2252.4,-1.69
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio FFI método TWR,4061.4,Segunda recorrida de cartas de rendimiento portfolio FFI método TWR,4155.7,-2.32
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Fondo de Obra Social método TWR,3099.0,Segunda recorrida de cartas de rendimiento portfolio Fondo de Obra Social método TWR,3450.5,-11.34
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Cobertura método TWR,2099.8,Segunda recorrida de cartas de rendimiento portfolio Cobertura método TWR,2274.4,-8.32
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Fideicomiso CFI método TWR,3532.1,Segunda recorrida de cartas de rendimiento portfolio Fideicomiso CFI método TWR,3607.1,-2.12
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Estrategia método TWR,2525.6,Segunda recorrida de cartas de rendimiento portfolio Estrategia método TWR,2624.6,-3.92
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio FPC método TWR,3742.6,Segunda recorrida de cartas de rendimiento portfolio FPC método TWR,3321.7,11.25
2026-02-19T12:40:36-03:00,Avalian,Production,V1.11.8,Rendimiento,Primera recorrida de cartas de rendimiento portfolio CFI método TWR,3661.5,Segunda recorrida de cartas de rendimiento portfolio CFI método TWR,4102.5,-12.04
