Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) actual,Cantidad de muestras
2025-11-13T08:44:17-03:00,CFI,Production,Home,Primer ingreso al portfolio CFI desde el Home,V1.10.5,9693.3,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Primer ingreso al portfolio FFI desde el Home,V1.10.5,9833.0,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Primer ingreso al portfolio FPC desde el Home,V1.10.5,8373.1,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Primer ingreso al portfolio Fideicomiso CFI desde el Home,V1.10.5,8978.6,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Primer ingreso al portfolio Fondo de Obra Social desde el Home,V1.10.5,7720.5,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Segundo ingreso al portfolio CFI desde el Home,V1.10.5,8482.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Segundo ingreso al portfolio FFI desde el Home,V1.10.5,9156.8,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Segundo ingreso al portfolio FPC desde el Home,V1.10.5,8188.8,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Segundo ingreso al portfolio Fideicomiso CFI desde el Home,V1.10.5,8130.3,3
2025-11-13T08:44:17-03:00,CFI,Production,Home,Segundo ingreso al portfolio Fondo de Obra Social desde el Home,V1.10.5,8040.5,3
2025-11-13T08:44:17-03:00,CFI,Production,Mi dinero,Primer ingreso al menú Mi dinero,V1.10.5,121033.3,3
2025-11-13T08:44:17-03:00,CFI,Production,Mi dinero,Segundo ingreso al menú Mi dinero,V1.10.5,121391.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis operaciones,Primer ingreso al depositario CFI,V1.10.5,11709.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis operaciones,Primer ingreso: Depositario CFI filtro de 1 mes de operaciones,V1.10.5,1802.3,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis operaciones,Primer ingreso: Depositario CFI filtro de 3 meses de operaciones,V1.10.5,10405.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis operaciones,Segundo ingreso al depositario CFI,V1.10.5,7663.1,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 1 mes de operaciones,V1.10.5,1719.1,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 3 meses de operaciones,V1.10.5,9562.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Primer ingreso al portfolio CFI desde Mis portfolios,V1.10.5,7065.9,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Primer ingreso al portfolio FFI desde Mis portfolios,V1.10.5,7354.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Primer ingreso al portfolio FPC desde Mis portfolios,V1.10.5,6111.6,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Primer ingreso al portfolio Fideicomiso CFI desde Mis portfolios,V1.10.5,6637.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Primer ingreso al portfolio Fondo de Obra Social desde Mis portfolios,V1.10.5,6087.5,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Segundo ingreso al portfolio CFI desde Mis portfolios,V1.10.5,6673.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Segundo ingreso al portfolio FFI desde Mis portfolios,V1.10.5,6840.4,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Segundo ingreso al portfolio FPC desde Mis portfolios,V1.10.5,5953.5,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Segundo ingreso al portfolio Fideicomiso CFI desde Mis portfolios,V1.10.5,6578.4,3
2025-11-13T08:44:17-03:00,CFI,Production,Mis portfolios,Segundo ingreso al portfolio Fondo de Obra Social desde Mis portfolios,V1.10.5,6625.1,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Desde el inicio con método MWR,V1.10.5,4788.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Desde el inicio con método TWR,V1.10.5,4957.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Desde principio de año con método MWR,V1.10.5,1643.0,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Desde principio de año con método TWR,V1.10.5,1789.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Desde principio de mes con método MWR,V1.10.5,564.1,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Desde principio de mes con método TWR,V1.10.5,560.8,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Última semana con método MWR,V1.10.5,509.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Última semana con método TWR,V1.10.5,521.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Último año con método MWR,V1.10.5,2469.2,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Último año con método TWR,V1.10.5,1689.7,3
2025-11-13T08:44:17-03:00,CFI,Production,Rendimiento,Portfolio CFI: Primer ingreso a la carta de rendimiento Último mes con método MWR,V1.10.5,586.4,3
