Timestamp,Sección,Descripción,P95 (ms)
2025-11-07T17:06:46-03:00,Agenda,Primer ingreso al menú Agenda,2757.0
2025-11-07T17:06:46-03:00,Agenda,Primer ingreso: Filtro de todos los estados y conceptos con fecha actual,46686.0
2025-11-07T17:06:46-03:00,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",487.0
2025-11-07T17:06:46-03:00,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",30088.0
2025-11-07T17:06:46-03:00,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",646.0
2025-11-07T17:06:46-03:00,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Vencimiento",17331.0
2025-11-07T17:06:46-03:00,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Venta",560.0
2025-11-07T17:06:46-03:00,Agenda,Segundo ingreso al menú Agenda,1808.0
2025-11-07T17:06:46-03:00,Agenda,Segundo ingreso: Filtro de todos los estados y conceptos con fecha actual,58599.0
2025-11-07T17:06:46-03:00,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",498.0
2025-11-07T17:06:46-03:00,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",33987.0
2025-11-07T17:06:46-03:00,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",592.0
2025-11-07T17:06:46-03:00,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Vencimiento",26013.0
2025-11-07T17:06:46-03:00,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Venta",625.0
2025-11-07T17:06:46-03:00,Home,Ingreso a MPC,5115.0
2025-11-07T17:06:46-03:00,Home,Primer ingreso al menú Home,7982.0
2025-11-07T17:06:46-03:00,Home,Primer ingreso al portfolio CFI desde el Home,8256.0
2025-11-07T17:06:46-03:00,Home,Primer ingreso al portfolio FFI desde el Home,9850.0
2025-11-07T17:06:46-03:00,Home,Primer ingreso al portfolio FPC desde el Home,8390.0
2025-11-07T17:06:46-03:00,Home,Primer ingreso al portfolio Fideicomiso CFI desde el Home,8066.0
2025-11-07T17:06:46-03:00,Home,Primer ingreso al portfolio Fondo de Obra Social desde el Home,7738.0
2025-11-07T17:06:46-03:00,Home,Segundo ingreso al menú Home,6190.0
2025-11-07T17:06:46-03:00,Home,Segundo ingreso al portfolio CFI desde el Home,7987.0
2025-11-07T17:06:46-03:00,Home,Segundo ingreso al portfolio FFI desde el Home,8624.0
2025-11-07T17:06:46-03:00,Home,Segundo ingreso al portfolio FPC desde el Home,7822.0
2025-11-07T17:06:46-03:00,Home,Segundo ingreso al portfolio Fideicomiso CFI desde el Home,8145.0
2025-11-07T17:06:46-03:00,Home,Segundo ingreso al portfolio Fondo de Obra Social desde el Home,8047.0
2025-11-07T17:06:46-03:00,Mi dinero,Primer ingreso al menú Mi dinero,80033.0
2025-11-07T17:06:46-03:00,Mi dinero,Segundo ingreso al menú Mi dinero,59087.0
2025-11-07T17:06:46-03:00,Mis operaciones,Primer ingreso al depositario CFI,1173.0
2025-11-07T17:06:46-03:00,Mis operaciones,Primer ingreso al menú Mis operaciones,2436.0
2025-11-07T17:06:46-03:00,Mis operaciones,Primer ingreso: Depositario CFI filtro de 1 mes de operaciones,871.0
2025-11-07T17:06:46-03:00,Mis operaciones,Primer ingreso: Depositario CFI filtro de 3 meses de operaciones,897.0
2025-11-07T17:06:46-03:00,Mis operaciones,Primer ingreso: Filtro de 1 mes de operaciones,951.0
2025-11-07T17:06:46-03:00,Mis operaciones,Primer ingreso: Filtro de 3 meses de operaciones,906.0
2025-11-07T17:06:46-03:00,Mis operaciones,Segundo ingreso al depositario CFI,1152.0
2025-11-07T17:06:46-03:00,Mis operaciones,Segundo ingreso al menú Mis operaciones,2999.0
2025-11-07T17:06:46-03:00,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 1 mes de operaciones,898.0
2025-11-07T17:06:46-03:00,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 3 meses de operaciones,921.0
2025-11-07T17:06:46-03:00,Mis operaciones,Segundo ingreso: Filtro de 1 mes de operaciones,941.0
2025-11-07T17:06:46-03:00,Mis operaciones,Segundo ingreso: Filtro de 3 meses de operaciones,905.0
2025-11-07T17:06:46-03:00,Mis portfolios,Primer ingreso al menú Mis portfolios,6064.0
2025-11-07T17:06:46-03:00,Mis portfolios,Primer ingreso al portfolio CFI desde Mis portfolios,7085.0
2025-11-07T17:06:46-03:00,Mis portfolios,Primer ingreso al portfolio FFI desde Mis portfolios,6920.0
2025-11-07T17:06:46-03:00,Mis portfolios,Primer ingreso al portfolio FPC desde Mis portfolios,6175.0
2025-11-07T17:06:46-03:00,Mis portfolios,Primer ingreso al portfolio Fideicomiso CFI desde Mis portfolios,6356.0
