Timestamp,Sección,P95 (ms)
2026-09-16T15:24:28-03:00,Agenda,1279.0
2026-09-16T15:24:28-03:00,Home,8563.2
2026-09-16T15:24:28-03:00,Mis depositarios,5859.3
2026-09-16T15:24:28-03:00,Mis operaciones,7196.7
2026-09-16T15:24:28-03:00,Mis portfolios,6786.9
2026-09-16T15:24:28-03:00,Rendimiento,1206.6
2026-09-17T15:53:34-03:00,Agenda,1435.5
2026-09-17T15:53:34-03:00,Home,11317.2
2026-09-17T15:53:34-03:00,Mis depositarios,5975.5
2026-09-17T15:53:34-03:00,Mis operaciones,6249.6
2026-09-17T15:53:34-03:00,Mis portfolios,7238.25
2026-09-17T15:53:34-03:00,Rendimiento,1623.95
2026-09-18T15:27:11-03:00,Agenda,1399.5
2026-09-18T15:27:11-03:00,Home,9129.4
2026-09-18T15:27:11-03:00,Mis depositarios,5838.2
2026-09-18T15:27:11-03:00,Mis operaciones,4861.7
2026-09-18T15:27:11-03:00,Mis portfolios,7711.2
2026-09-18T15:27:11-03:00,Rendimiento,1368.65
2026-09-21T15:28:28-03:00,Agenda,1348.75
2026-09-21T15:28:28-03:00,Home,10456.0
2026-09-21T15:28:28-03:00,Mis depositarios,5779.1
2026-09-21T15:28:28-03:00,Mis operaciones,5590.0
2026-09-21T15:28:28-03:00,Mis portfolios,9148.05
2026-09-21T15:28:28-03:00,Rendimiento,1734.7
2026-09-24T15:30:41-03:00,Agenda,1373.5
2026-09-24T15:30:41-03:00,Home,9839.0
2026-09-24T15:30:41-03:00,Mis depositarios,5799.1
2026-09-24T15:30:41-03:00,Mis operaciones,5157.65
2026-09-24T15:30:41-03:00,Mis portfolios,8798.8
2026-09-24T15:30:41-03:00,Rendimiento,1697.6
