Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Ingreso a MPC,1,1,1,4666.0,4666.0,0.0,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Ingreso a MPC,2,3,6,5067.5,4194.5,449.04,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Ingreso a MPC,4,3,12,5441.8,4208.0,613.62,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Ingreso a MPC,6,1,6,6022.75,4701.5,817.3,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al menú Home,1,1,1,8231.0,8231.0,0.0,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al menú Home,2,3,6,9926.75,8351.5,1025.36,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al menú Home,4,3,12,27322.55,15529.5,6385.52,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al menú Home,6,1,6,28119.75,19807.5,5478.57,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Cobertura desde el Home,1,1,1,10122.0,10122.0,0.0,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Cobertura desde el Home,2,3,6,14250.25,13050.5,1432.01,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Cobertura desde el Home,4,3,12,34002.75,25825.0,5885.45,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Cobertura desde el Home,6,1,5,36852.4,25814.0,6740.04,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Estrategia desde el Home,1,1,1,13256.0,13256.0,0.0,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Estrategia desde el Home,2,3,6,18775.0,15042.0,2884.5,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Estrategia desde el Home,4,3,12,39352.6,25448.0,7534.47,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Estrategia desde el Home,6,1,5,40338.2,22504.0,9520.44,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Hard Dollar desde el Home,1,1,1,9868.0,9868.0,0.0,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Hard Dollar desde el Home,2,3,6,17876.25,13106.5,3595.32,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Hard Dollar desde el Home,4,3,12,32923.2,25545.0,5097.84,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Primer ingreso al portfolio Hard Dollar desde el Home,6,1,5,39276.6,30551.0,7695.93,,
2026-09-02T20:16:52-03:00,Production,Avalian,V1.14.0,Home,Segundo ingreso al menú Home,1,1,1,4381.0,4381.0,0.0,,
