Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Agrupar por especie todas las cuentas disponibles,1,1,1,953.0,953.0,0.0,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Agrupar por especie todas las cuentas disponibles,2,3,6,4041.75,1147.0,1422.47,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Agrupar por especie todas las cuentas disponibles,4,3,12,6776.8,1058.0,2838.2,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta ACA Valores (ARS),1,1,1,2514.0,2514.0,0.0,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta ACA Valores (ARS),2,3,6,6676.5,3031.0,1859.1,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta ACA Valores (ARS),4,3,12,30107.8,4270.5,10734.83,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta ACA Valores (MEP),1,1,1,2967.0,2967.0,0.0,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta ACA Valores (MEP),2,3,6,8653.75,3424.5,2526.25,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta ACA Valores (MEP),4,3,12,20404.85,4951.5,6802.7,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta BBVA (FCI ARS),1,1,1,2480.0,2480.0,0.0,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta BBVA (FCI ARS),2,3,6,7447.25,3752.5,1995.14,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta BBVA (FCI ARS),4,3,12,23766.4,6418.5,7392.93,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Macro (FCI ARS),1,1,1,3169.0,3169.0,0.0,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Macro (FCI ARS),2,3,6,5108.0,3329.5,996.85,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Macro (FCI ARS),4,3,12,25716.45,6442.0,7924.64,,
2026-09-01T23:17:54-03:00,Production,Avalian,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Nación (BNA),1,1,1,2492.0,2492.0,0.0,,
