Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Ingreso a MPC,2,3,6,4246.5,4152.0,212.23,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Ingreso a MPC,4,3,12,6972.4,4609.0,1321.13,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al menú Mis portfolios,1,1,1,6919.0,6919.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al menú Mis portfolios,2,3,6,5819.0,4915.0,746.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al menú Mis portfolios,4,3,12,12283.95,7458.0,2312.79,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Cobertura desde Mis portfolios,1,1,1,4744.0,4744.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Cobertura desde Mis portfolios,2,3,6,8927.0,6431.0,1473.85,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Cobertura desde Mis portfolios,4,3,12,22869.75,13763.0,4399.08,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Estrategia desde Mis portfolios,1,1,1,10753.0,10753.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Estrategia desde Mis portfolios,2,3,6,12246.0,10227.5,2043.73,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Estrategia desde Mis portfolios,4,3,12,25572.4,19591.0,4001.68,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Hard Dollar desde Mis portfolios,1,1,1,6543.0,6543.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Hard Dollar desde Mis portfolios,2,3,6,108146.75,6983.0,47517.21,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Primer ingreso al portfolio Hard Dollar desde Mis portfolios,4,3,12,26330.5,15196.0,6053.89,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al menú Mis portfolios,1,1,1,2542.0,2542.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al menú Mis portfolios,2,3,6,5183.5,2694.5,1421.35,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al menú Mis portfolios,4,3,12,13609.95,6572.0,3319.6,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Cobertura desde Mis portfolios,1,1,1,5199.0,5199.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Cobertura desde Mis portfolios,2,3,6,8206.75,5555.0,1479.63,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Cobertura desde Mis portfolios,4,3,12,16735.7,8744.5,4290.78,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Estrategia desde Mis portfolios,1,1,1,9404.0,9404.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Estrategia desde Mis portfolios,2,3,6,10122.0,7042.5,1657.78,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Estrategia desde Mis portfolios,4,3,12,22306.25,14866.0,4527.7,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Hard Dollar desde Mis portfolios,1,1,1,6366.0,6366.0,0.0,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Hard Dollar desde Mis portfolios,2,3,6,8463.25,8003.0,1679.42,,
2026-09-01T22:28:24-03:00,Production,Avalian,V1.14.0,Mis portfolios,Segundo ingreso al portfolio Hard Dollar desde Mis portfolios,4,3,12,22594.95,14992.5,4658.97,,
