Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Agrupar por especie todas las cuentas disponibles,1,4,4,1705.05,1612.0,75.96,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Agrupar por especie todas las cuentas disponibles,2,3,6,4815.75,2224.5,1370.49,-182.44
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Banco Nación (Banco Nación FPC),1,4,4,2475.5,1588.5,560.98,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Banco Nación (Banco Nación FPC),2,3,6,3619.75,1315.0,1135.74,-46.22
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta ICBC (CFI),1,4,4,2389.9,2079.0,361.51,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta ICBC (CFI),2,3,6,6668.25,2547.5,2027.0,-179.02
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta ICBC (FFI),1,4,4,1790.95,1632.0,112.54,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta ICBC (FFI),2,3,6,4109.25,1643.0,1203.77,-129.45
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),1,4,4,2253.95,1687.5,648.78,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),2,3,6,6216.75,1676.0,2051.99,-175.82
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),1,4,4,1122.1,1006.5,78.35,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),2,3,6,5513.75,4224.0,1790.49,-391.38
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Pellegrini (CFI ),1,4,4,2810.8,2290.5,361.42,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Pellegrini (CFI ),2,3,6,5782.25,5470.0,1236.53,-105.72
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Pellegrini (FFI),1,4,4,2522.15,2085.5,237.61,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Pellegrini (FFI),2,3,6,5853.5,3007.5,1494.4,-132.08
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Pellegrini (Fondo de Garantia),1,4,4,2862.2,2181.5,367.3,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar la cuenta Pellegrini (Fondo de Garantia),2,3,6,5864.75,4939.5,1449.44,-104.9
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario Banco Nación,1,4,4,1209.6,906.0,188.52,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario Banco Nación,2,3,6,5315.5,1194.0,1859.99,-339.44
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario ICBC,1,4,4,1186.25,1007.5,99.63,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario ICBC,2,3,6,4107.25,1237.5,1438.71,-246.24
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario Nación Bursátil,1,4,4,1047.45,937.0,81.57,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario Nación Bursátil,2,3,6,5102.5,1136.0,1746.89,-387.14
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Deseleccionar todas las cuentas del depositario Pellegrini,1,4,4,1246.0,933.0,170.9,
