Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,Ingreso a MPC,2,3,6,4779.25,4140.5,497.05,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,Primer ingreso al menú Agenda,1,4,4,4620.2,3783.5,649.77,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,Primer ingreso al menú Agenda,2,3,6,5476.25,3311.0,1100.51,-18.53,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Cobrado",1,4,4,1385.95,1272.0,87.54,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Cobrado",2,3,4,1405.25,826.0,324.58,-1.39,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 1 mes hacia atras",1,4,4,3648.3,2737.0,511.5,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 1 mes hacia atras",2,3,4,2512.85,1385.5,602.56,31.12,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 3 meses hacia atras",1,4,4,3310.7,2595.5,395.86,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 3 meses hacia atras",2,3,4,2736.0,1977.0,421.18,17.36,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Pendiente",1,4,4,57438.65,50298.5,4451.64,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Pendiente",2,3,6,125662.5,81920.5,31419.31,-118.78,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Pendiente, fecha: 1 mes hacia atras",1,4,4,86421.4,75569.5,21854.37,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Bonos, estado: Pendiente, fecha: 1 mes hacia atras",2,3,4,194958.1,149745.0,47591.82,-125.59,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada",1,4,4,971.55,891.5,99.64,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada",2,3,4,1006.8,905.5,121.24,-3.63,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 1 mes hacia atras",1,4,4,1011.55,980.0,25.5,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 1 mes hacia atras",2,3,4,1534.05,1069.5,245.11,-51.65,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 3 meses hacia atras",1,4,4,1020.55,929.5,61.32,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 3 meses hacia atras",2,3,4,1005.1,989.0,61.37,1.51,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento",1,4,4,866.85,802.0,47.41,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento",2,3,4,869.35,777.0,62.28,-0.29,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 1 mes hacia atras",1,4,4,1023.15,938.0,50.55,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 1 mes hacia atras",2,3,4,1030.6,996.0,74.66,-0.73,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 3 meses hacia atras",1,4,4,1027.55,979.5,47.16,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 3 meses hacia atras",2,3,4,1033.55,997.0,72.03,-0.58,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta",1,4,4,814.55,709.0,54.3,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta",2,3,4,809.35,763.0,58.52,0.64,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 1 mes hacia atras",1,4,4,1003.95,948.0,40.88,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 1 mes hacia atras",2,3,4,40189.75,987.0,19984.89,-3903.16,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 3 meses hacia atras",1,4,4,1032.05,956.0,42.33,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 3 meses hacia atras",2,3,4,40649.9,963.5,20236.21,-3838.75,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Pendiente",1,4,4,809.05,707.0,58.51,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Pendiente",2,3,4,1564.75,654.0,466.91,-93.41,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Pendiente, fecha: 1 mes hacia atras",1,4,4,1863.45,1139.0,376.22,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a descuento, estado: Pendiente, fecha: 1 mes hacia atras",2,3,4,1352.5,1263.0,85.52,27.42,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Cancelación anticipada",1,4,4,970.8,913.0,55.38,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Cancelación anticipada",2,3,4,994.4,957.0,82.49,-2.43,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 1 mes hacia atras",1,4,4,1020.45,942.5,47.57,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 1 mes hacia atras",2,3,4,1799.2,982.0,437.92,-76.31,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 3 meses hacia atras",1,4,4,1009.05,991.0,18.53,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 3 meses hacia atras",2,3,4,1252.8,1092.5,139.81,-24.16,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Vencimiento",1,4,4,6034.65,2771.0,1740.66,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Vencimiento",2,3,4,13252.1,2615.5,5480.02,-119.6,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Vencimiento, fecha: 1 mes hacia atras",1,4,4,1673.95,1633.5,24.7,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Vencimiento, fecha: 1 mes hacia atras",2,3,4,1391.5,1348.0,79.42,16.87,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Vencimiento, fecha: 3 meses hacia atras",1,4,4,4287.5,2926.0,699.28,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Vencimiento, fecha: 3 meses hacia atras",2,3,4,2598.05,2407.0,129.8,39.4,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Venta",1,4,4,907.15,828.0,54.61,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Venta",2,3,4,9269.8,913.5,4265.39,-921.86,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Venta, fecha: 1 mes hacia atras",1,4,4,1030.1,926.5,62.75,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Venta, fecha: 1 mes hacia atras",2,3,4,1056.6,963.5,81.08,-2.57,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Venta, fecha: 3 meses hacia atras",1,4,4,989.55,967.0,18.16,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Cobrado, Concepto: Venta, fecha: 3 meses hacia atras",2,3,4,1036.35,1011.5,41.23,-4.73,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Pendiente",1,4,4,3711.35,2530.0,611.12,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Pendiente",2,3,4,48111.0,39487.5,17830.96,-1196.32,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Pendiente, fecha: 1 mes hacia atras",1,4,4,5016.0,4687.5,434.09,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Primer ingreso: Tipo de instrumento Operaciones a plazo, estado: Pendiente, fecha: 1 mes hacia atras",2,3,4,6952.0,5815.0,632.99,-38.6,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,Segundo ingreso al menú Agenda,1,4,4,37824.45,4760.5,16960.97,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,Segundo ingreso al menú Agenda,2,3,4,41997.75,4521.0,19125.93,-11.03,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Cobrado",1,4,4,1625.9,1328.5,176.91,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Cobrado",2,3,4,1035.95,817.0,114.91,36.28,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 1 mes hacia atras",1,4,4,2819.05,2549.5,252.04,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 1 mes hacia atras",2,3,4,1684.5,1299.0,197.8,40.25,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 3 meses hacia atras",1,4,4,2938.75,2661.5,174.68,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Cobrado, fecha: 3 meses hacia atras",2,3,4,2555.85,2025.5,339.14,13.03,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Pendiente, fecha: 1 mes hacia atras",1,4,4,95171.45,71203.0,26056.44,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: Pendiente, fecha: 1 mes hacia atras",2,3,4,93746.65,92643.5,2374.13,1.5,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: pendiente",1,4,4,45259.65,41959.5,12087.22,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Bonos, estado: pendiente",2,3,4,51035.9,46258.5,5388.04,-12.76,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada",1,4,4,856.65,819.5,34.02,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada",2,3,4,986.15,934.0,74.17,-15.12,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 1 mes hacia atras",1,4,4,1003.1,967.5,47.05,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 1 mes hacia atras",2,3,4,1025.65,978.5,40.87,-2.25,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 3 meses hacia atras",1,4,4,984.0,945.5,29.23,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Cancelación anticipada, fecha: 3 meses hacia atras",2,3,4,1020.75,978.5,35.42,-3.73,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento",1,4,4,834.15,760.5,55.14,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento",2,3,4,914.3,790.0,78.1,-9.61,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 1 mes hacia atras",1,4,4,982.05,961.5,20.72,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 1 mes hacia atras",2,3,4,1914.4,1029.5,454.68,-94.94,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 3 meses hacia atras",1,4,4,1861.75,980.5,456.25,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Vencimiento, fecha: 3 meses hacia atras",2,3,4,1097.4,1009.5,57.33,41.06,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta",1,4,4,760.1,737.0,14.59,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta",2,3,4,857.0,813.5,43.72,-12.75,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 1 mes hacia atras",1,4,4,1045.65,996.5,56.44,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 1 mes hacia atras",2,3,4,1028.85,961.0,53.23,1.61,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 3 meses hacia atras",1,4,4,973.8,933.0,21.98,,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Cobrado, Concepto: Venta, fecha: 3 meses hacia atras",2,3,4,1566.95,991.5,309.4,-60.91,V1.13.4
2026-08-30T21:39:58-03:00,Production,CFI,V1.14.0,Agenda,"Segundo ingreso: Tipo de instrumento Operaciones a descuento, estado: Pendiente, fecha: 1 mes hacia atras",1,4,4,1185.0,1133.5,44.91,,V1.13.4
