Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Agrupar por especie todas las cuentas disponibles,1,4,4,1705.05,1612.0,75.96,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Agrupar por especie todas las cuentas disponibles,2,3,6,2751.75,1774.0,491.97,-61.39,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Agrupar por especie todas las cuentas disponibles,4,3,12,2704.35,1843.5,462.67,-58.61,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Nación (Banco Nación FPC),1,4,4,2475.5,1588.5,560.98,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Nación (Banco Nación FPC),2,3,6,3116.5,1460.5,833.88,-25.89,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Banco Nación (Banco Nación FPC),4,3,12,5613.0,2858.5,1572.15,-126.74,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (CFI),1,4,4,2389.9,2079.0,361.51,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (CFI),2,3,6,3602.5,1751.0,868.9,-50.74,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (CFI),4,3,12,6716.15,2594.5,1661.69,-181.02,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (FFI),1,4,4,1790.95,1632.0,112.54,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (FFI),2,3,6,3205.0,2183.0,650.47,-78.96,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (FFI),4,3,12,4998.0,2822.0,1342.72,-179.07,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),1,4,4,2253.95,1687.5,648.78,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),2,3,6,1676.5,1399.5,212.78,25.62,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),4,3,12,11397.35,2278.0,4470.37,-405.66,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),1,4,4,1122.1,1006.5,78.35,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),2,3,6,1779.0,875.0,440.52,-58.54,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),4,3,12,4604.65,1920.5,1392.45,-310.36,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Pellegrini (CFI ),1,4,4,2810.8,2290.5,361.42,,V1.13.4
2026-08-31T19:49:24-03:00,Production,CFI,V1.14.0,Mis depositarios,Deseleccionar la cuenta Pellegrini (CFI ),2,3,6,3348.5,2515.5,527.59,-19.13,V1.13.4
