Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Ingreso a MPC,2,3,6,6836.5,5086.0,1115.54,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Ingreso a MPC,4,3,12,11064.85,4877.5,2788.61,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso al depositario CFI,1,4,4,11768.0,6356.0,3083.18,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso al depositario CFI,2,3,6,1963.25,1751.5,133.75,83.32,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso al depositario CFI,4,3,12,5853.25,2424.0,1789.44,50.26,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso al menú Mis operaciones,1,4,4,6666.65,6012.0,694.82,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso al menú Mis operaciones,2,3,6,10003.75,6097.0,2262.5,-50.06,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso al menú Mis operaciones,4,3,12,13971.35,6527.5,3658.07,-109.57,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso: Depositario CFI filtro de 1 mes de operaciones,1,4,4,2209.95,2179.0,79.59,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso: Depositario CFI filtro de 1 mes de operaciones,2,3,6,3600.25,1946.5,834.15,-62.91,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso: Depositario CFI filtro de 1 mes de operaciones,4,3,12,12106.5,3900.5,3833.72,-447.82,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso: Filtro de 1 mes de operaciones,1,4,4,33498.85,29447.5,7009.05,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso: Filtro de 1 mes de operaciones,2,3,6,13481.0,7765.0,3194.94,59.76,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Primer ingreso: Filtro de 1 mes de operaciones,4,3,12,18460.35,7394.5,5445.16,44.89,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso al depositario CFI,1,4,4,4899.2,3937.5,532.29,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso al depositario CFI,2,3,6,2553.0,1703.5,452.35,47.89,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso al depositario CFI,4,3,12,6922.3,2891.0,1982.6,-41.29,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso al menú Mis operaciones,1,4,4,7662.7,6286.5,1437.22,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso al menú Mis operaciones,2,3,6,9854.0,4713.5,2378.07,-28.6,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso al menú Mis operaciones,4,3,12,20862.6,9928.5,5603.97,-172.26,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 1 mes de operaciones,1,4,4,2241.65,2171.5,76.77,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 1 mes de operaciones,2,3,6,6639.0,1956.5,2277.77,-196.17,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso: Depositario CFI filtro de 1 mes de operaciones,4,3,12,7857.1,1733.0,2433.94,-250.51,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso: Filtro de 1 mes de operaciones,1,4,4,29407.9,24458.0,5403.68,,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso: Filtro de 1 mes de operaciones,2,3,6,53235.25,16253.5,18745.26,-81.02,V1.13.4
2026-08-30T20:44:54-03:00,Production,CFI,V1.14.0,Mis operaciones,Segundo ingreso: Filtro de 1 mes de operaciones,4,3,12,15889.05,9964.5,3218.09,45.97,V1.13.4
